Year,WHO,total_speeches,health_speeches,climate_speeches,intersection_speeches,percent_int,percent_CC,percent_PH
1997,Western Pacific,17,6,9,0,0,52.94117647058824,35.294117647058826
1998,Africa,46,21,2,0,0,4.3478260869565215,45.65217391304348
1998,Eastern Mediterranean,21,9,1,0,0,4.761904761904762,42.857142857142854
1998,Europe,51,15,8,1,1.9607843137254901,15.686274509803921,29.411764705882355
1998,Latin America and the Caribbean,33,16,8,1,3.0303030303030303,24.242424242424242,48.484848484848484
1998,North America,2,1,1,0,0,50,50
1998,South-East Asia,10,4,2,0,0,20,40
1998,Western Pacific,18,7,8,0,0,44.44444444444444,38.88888888888889
1999,Africa,43,30,1,0,0,2.3255813953488373,69.76744186046511
1999,Eastern Mediterranean,21,11,1,0,0,4.761904761904762,52.38095238095239
1999,Europe,51,17,4,1,1.9607843137254901,7.8431372549019605,33.33333333333333
1999,Latin America and the Caribbean,33,18,3,0,0,9.090909090909092,54.54545454545454
1999,North America,2,1,1,1,50,50,50
1999,South-East Asia,10,7,1,0,0,10,70
1999,Western Pacific,21,7,7,1,4.761904761904762,33.33333333333333,33.33333333333333
2000,Africa,41,32,1,0,0,2.4390243902439024,78.04878048780488
2000,Eastern Mediterranean,22,16,0,0,0,0,72.72727272727273
2000,Europe,50,23,11,1,2,22,46
2000,Latin America and the Caribbean,33,27,8,0,0,24.242424242424242,81.81818181818183
2000,North America,2,1,1,0,0,50,50
2000,South-East Asia,9,7,2,0,0,22.22222222222222,77.77777777777779
2000,Western Pacific,21,13,10,1,4.761904761904762,47.61904761904761,61.904761904761905
2001,Africa,46,38,3,0,0,6.521739130434782,82.6086956521739
2001,Eastern Mediterranean,22,9,2,0,0,9.090909090909092,40.909090909090914
2001,Europe,52,20,6,0,0,11.538461538461538,38.46153846153847
2001,Latin America and the Caribbean,33,22,9,0,0,27.27272727272727,66.66666666666666
2001,North America,2,1,0,0,0,0,50
2001,South-East Asia,10,9,2,0,0,20,90
2001,Western Pacific,24,13,10,3,12.5,41.66666666666667,54.166666666666664
2002,Africa,45,35,1,0,0,2.2222222222222223,77.77777777777779
2002,Eastern Mediterranean,21,13,1,1,4.761904761904762,4.761904761904762,61.904761904761905
2002,Europe,53,27,8,2,3.7735849056603774,15.09433962264151,50.943396226415096
2002,Latin America and the Caribbean,33,23,4,1,3.0303030303030303,12.121212121212121,69.6969696969697
2002,North America,2,2,0,0,0,0,100
2002,South-East Asia,10,4,2,0,0,20,40
2002,Western Pacific,24,12,14,4,16.666666666666664,58.333333333333336,50
2003,Africa,46,36,2,0,0,4.3478260869565215,78.26086956521739
2003,Eastern Mediterranean,20,9,0,0,0,0,45
2003,Europe,52,25,7,3,5.769230769230769,13.461538461538462,48.07692307692308
2003,Latin America and the Caribbean,33,24,3,1,3.0303030303030303,9.090909090909092,72.72727272727273
2003,North America,2,2,0,0,0,0,100
2003,South-East Asia,11,8,1,0,0,9.090909090909092,72.72727272727273
2003,Western Pacific,25,16,11,3,12,44,64
2004,Africa,46,33,3,0,0,6.521739130434782,71.73913043478261
2004,Eastern Mediterranean,21,10,0,0,0,0,47.61904761904761
2004,Europe,54,26,8,1,1.8518518518518516,14.814814814814813,48.148148148148145
2004,Latin America and the Caribbean,33,27,7,0,0,21.21212121212121,81.81818181818183
2004,North America,2,2,0,0,0,0,100
2004,South-East Asia,11,7,1,0,0,9.090909090909092,63.63636363636363
2004,Western Pacific,25,21,9,3,12,36,84
2005,Africa,42,34,3,2,4.761904761904762,7.142857142857142,80.95238095238095
2005,Eastern Mediterranean,19,12,0,0,0,0,63.1578947368421
2005,Europe,54,25,12,2,3.7037037037037033,22.22222222222222,46.2962962962963
2005,Latin America and the Caribbean,32,26,9,1,3.125,28.125,81.25
2005,North America,2,2,0,0,0,0,100
2005,South-East Asia,11,9,1,0,0,9.090909090909092,81.81818181818183
2005,Western Pacific,25,16,7,1,4,28.000000000000004,64
2006,Africa,46,33,5,2,4.3478260869565215,10.869565217391305,71.73913043478261
2006,Eastern Mediterranean,21,10,0,0,0,0,47.61904761904761
2006,Europe,55,28,10,1,1.8181818181818181,18.181818181818183,50.90909090909091
2006,Latin America and the Caribbean,33,24,8,1,3.0303030303030303,24.242424242424242,72.72727272727273
2006,North America,2,1,0,0,0,0,50
2006,South-East Asia,11,7,1,0,0,9.090909090909092,63.63636363636363
2006,Western Pacific,25,20,12,4,16,48,80
2007,Africa,45,29,40,11,24.444444444444443,88.88888888888889,64.44444444444444
2007,Eastern Mediterranean,20,11,11,2,10,55.00000000000001,55.00000000000001
2007,Europe,55,22,47,6,10.909090909090908,85.45454545454545,40
2007,Latin America and the Caribbean,33,21,28,4,12.121212121212121,84.84848484848484,63.63636363636363
2007,North America,2,2,1,1,50,50,100
2007,South-East Asia,11,5,9,0,0,81.81818181818183,45.45454545454545
2007,Western Pacific,25,13,25,6,24,100,52
2008,Africa,46,35,36,8,17.391304347826086,78.26086956521739,76.08695652173914
2008,Eastern Mediterranean,20,6,13,0,0,65,30
2008,Europe,55,24,46,9,16.363636363636363,83.63636363636363,43.63636363636363
2008,Latin America and the Caribbean,33,28,29,11,33.33333333333333,87.87878787878788,84.84848484848484
2008,North America,2,1,1,0,0,50,50
2008,South-East Asia,11,6,10,2,18.181818181818183,90.9090909090909,54.54545454545454
2008,Western Pacific,25,16,22,4,16,88,64
2009,Africa,46,31,44,10,21.73913043478261,95.65217391304348,67.3913043478261
2009,Eastern Mediterranean,21,10,13,4,19.047619047619047,61.904761904761905,47.61904761904761
2009,Europe,55,25,48,11,20,87.27272727272727,45.45454545454545
2009,Latin America and the Caribbean,33,23,30,5,15.151515151515152,90.9090909090909,69.6969696969697
2009,North America,2,1,2,1,50,100,50
2009,South-East Asia,11,7,11,4,36.36363636363637,100,63.63636363636363
2009,Western Pacific,25,17,24,9,36,96,68
2010,Africa,45,30,35,9,20,77.77777777777779,66.66666666666666
2010,Eastern Mediterranean,20,9,12,1,5,60,45
2010,Europe,53,23,43,9,16.9811320754717,81.13207547169812,43.39622641509434
2010,Latin America and the Caribbean,33,22,31,8,24.242424242424242,93.93939393939394,66.66666666666666
2010,North America,2,2,2,1,50,100,100
2010,South-East Asia,11,5,10,4,36.36363636363637,90.9090909090909,45.45454545454545
2010,Western Pacific,25,16,22,7,28.000000000000004,88,64
2011,Africa,46,27,33,6,13.043478260869565,71.73913043478261,58.69565217391305
2011,Eastern Mediterranean,21,8,7,1,4.761904761904762,33.33333333333333,38.095238095238095
